Date,Open,High,Low,Close,Adj Close,Volume
01/04/2016,142.5,143.5,139.0,139.5,109.44706726074219,"39,169,000"
01/05/2016,139.0,140.0,137.0,138.0,108.27023315429688,"46,381,000"
01/06/2016,138.0,138.0,135.0,135.5,106.30880737304688,"53,617,000"
01/07/2016,134.5,135.0,130.5,133.0,104.34739685058594,"62,539,000"
01/08/2016,132.0,135.0,132.0,134.0,105.1319580078125,"50,123,000"
01/11/2016,133.0,134.5,130.5,133.0,104.34739685058594,"48,345,000"
01/12/2016,133.0,134.0,131.5,133.0,104.34739685058594,"34,688,000"
01/13/2016,133.5,135.5,133.0,133.5,104.73967742919922,"37,717,000"
01/14/2016,130.5,132.0,130.5,131.5,103.17054748535156,"39,253,000"
01/15/2016,137.5,138.0,135.5,137.0,107.48564910888672,"79,464,000"
01/18/2016,135.0,138.0,134.5,137.0,107.48564910888672,"36,757,000"
01/19/2016,137.5,138.0,136.0,138.0,108.27023315429688,"23,737,000"
01/20/2016,137.5,137.5,133.5,134.5,105.52423095703125,"43,839,000"
01/21/2016,134.0,136.5,134.0,135.0,105.91651916503906,"31,933,000"
01/22/2016,136.5,138.5,136.0,138.5,108.66251373291016,"33,889,000"
01/25/2016,140.0,140.0,139.0,139.5,109.44706726074219,"27,184,000"
01/26/2016,137.5,139.0,137.0,137.5,107.87794494628906,"24,049,000"
01/27/2016,139.0,139.5,138.5,139.5,109.44706726074219,"24,029,000"
01/28/2016,138.0,140.5,138.0,140.0,109.83936309814453,"37,867,000"
01/29/2016,138.5,143.0,138.0,143.0,112.19307708740234,"55,616,000"
02/01/2016,144.0,144.0,141.5,144.0,112.97762298583984,"40,943,000"
02/02/2016,144.0,144.5,141.5,142.5,111.80078887939453,"25,380,000"
02/03/2016,145.0,146.0,144.5,146.0,114.54676055908203,"70,465,000"
02/15/2016,142.0,146.5,142.0,145.0,113.76219940185547,"72,875,000"
02/16/2016,146.0,148.0,145.5,147.5,115.72359466552734,"55,006,000"
02/17/2016,149.0,149.0,147.0,148.0,116.11591339111328,"38,453,000"
02/18/2016,150.0,151.0,149.5,151.0,118.46961212158203,"61,657,000"
02/19/2016,149.0,151.0,149.0,151.0,118.46961212158203,"35,668,000"
02/22/2016,149.5,152.5,149.5,151.0,118.46961212158203,"27,003,000"
02/23/2016,150.5,151.0,149.0,149.5,117.29273986816406,"22,302,000"
02/24/2016,149.5,150.5,147.0,148.0,116.11591339111328,"22,026,000"
02/25/2016,149.0,151.0,148.5,150.5,118.07733154296875,"25,202,000"
02/26/2016,151.0,151.5,148.0,149.0,116.90046691894531,"37,655,000"
03/01/2016,148.5,152.0,148.5,152.0,119.2541732788086,"38,629,000"
03/02/2016,154.0,154.5,153.0,153.0,120.03872680664062,"36,010,000"
03/03/2016,154.0,154.5,153.0,154.0,120.82331085205078,"28,822,000"
03/04/2016,153.0,153.5,151.5,152.5,119.64643859863281,"32,794,000"
03/07/2016,152.5,153.5,151.0,152.0,119.2541732788086,"23,906,000"
03/08/2016,151.0,152.0,149.5,152.0,119.2541732788086,"35,683,000"
03/09/2016,152.0,153.0,150.5,153.0,120.03872680664062,"24,004,000"
03/10/2016,153.0,154.5,151.5,154.5,121.21562957763672,"28,302,000"
03/11/2016,154.5,155.0,153.0,155.0,121.6078872680664,"29,566,000"
03/14/2016,156.5,157.5,155.5,156.0,122.39242553710938,"32,751,000"
03/15/2016,155.0,156.5,153.0,154.5,121.21562957763672,"28,689,000"
03/16/2016,155.5,156.0,154.0,156.0,122.39242553710938,"30,962,000"
03/17/2016,159.5,160.0,157.5,158.5,124.35384368896484,"48,193,000"
03/18/2016,158.5,159.5,158.5,159.5,125.1384048461914,"55,975,000"
03/21/2016,160.0,160.0,158.0,160.0,125.53070068359375,"26,100,000"
03/22/2016,159.5,159.5,157.0,158.5,124.35384368896484,"25,809,000"
03/23/2016,158.5,159.5,158.0,159.5,125.1384048461914,"27,478,000"
03/24/2016,158.0,159.0,157.0,158.5,124.35384368896484,"24,853,000"
03/25/2016,158.5,159.0,157.0,158.0,123.96160888671875,"10,175,000"
03/28/2016,158.0,159.0,157.0,159.0,124.74610900878906,"15,268,000"
03/29/2016,158.5,159.5,158.0,159.0,124.74610900878906,"18,977,000"
03/30/2016,158.5,162.0,158.5,161.5,126.70755767822266,"43,616,000"
03/31/2016,162.0,163.0,159.0,162.0,127.0998306274414,"49,433,000"
04/01/2016,161.0,161.0,157.5,158.5,124.35384368896484,"31,564,000"
04/06/2016,155.5,156.0,153.5,153.5,120.43101501464844,"58,134,000"
04/07/2016,155.0,155.0,152.5,154.5,121.21562957763672,"35,238,000"
04/08/2016,154.0,158.0,154.0,157.5,123.56927490234375,"41,032,000"
04/11/2016,156.0,159.0,155.5,158.5,124.35384368896484,"21,758,000"
04/12/2016,157.5,159.5,157.5,158.5,124.35384368896484,"14,859,000"
04/13/2016,160.0,162.0,159.5,161.5,126.70755767822266,"39,611,000"
04/14/2016,162.0,162.5,160.0,161.5,126.70755767822266,"31,338,000"
04/15/2016,157.0,160.0,156.0,159.5,125.1384048461914,"48,779,000"
04/18/2016,158.0,158.5,157.5,158.0,123.96160888671875,"20,279,000"
04/19/2016,160.0,161.0,157.0,157.5,123.56927490234375,"26,577,000"
04/20/2016,157.5,158.0,154.0,154.0,120.82331085205078,"40,996,000"
04/21/2016,156.0,157.0,154.0,157.0,123.17700958251953,"29,723,000"
04/22/2016,155.5,158.0,155.0,156.5,122.78471374511719,"28,990,000"
04/25/2016,156.5,157.5,156.0,157.5,123.56927490234375,"14,306,000"
04/26/2016,156.5,158.5,156.5,158.0,123.96160888671875,"18,119,000"
04/27/2016,156.0,157.5,155.5,156.5,122.78471374511719,"28,845,000"
04/28/2016,157.5,158.0,153.0,153.0,120.03872680664062,"48,915,000"
04/29/2016,151.0,151.0,149.0,150.0,117.68502044677734,"66,445,000"
05/03/2016,148.0,148.5,146.5,147.5,115.72359466552734,"68,550,000"
05/04/2016,147.0,149.0,146.5,147.0,115.33132934570312,"52,973,000"
05/05/2016,147.5,148.5,146.0,147.5,115.72359466552734,"38,269,000"
05/06/2016,148.5,148.5,147.0,148.0,116.11591339111328,"36,510,000"
05/09/2016,148.5,149.0,146.5,147.5,115.72359466552734,"38,478,000"
05/10/2016,147.0,148.0,146.5,147.0,115.33132934570312,"29,785,000"
05/11/2016,148.5,149.0,146.5,147.0,115.33132934570312,"40,057,000"
05/12/2016,147.0,148.0,146.0,146.0,114.54676055908203,"23,749,000"
05/13/2016,145.0,145.5,143.0,144.0,112.97762298583984,"60,038,000"
05/16/2016,143.0,145.5,143.0,144.5,113.36988830566406,"31,133,000"
05/17/2016,145.5,147.0,145.0,147.0,115.33132934570312,"30,277,000"
05/18/2016,146.0,147.0,145.0,147.0,115.33132934570312,"31,057,000"
05/19/2016,148.0,148.5,145.5,147.0,115.33132934570312,"35,132,000"
05/20/2016,147.5,149.5,147.0,148.5,116.50816345214844,"36,306,000"
05/23/2016,150.5,154.5,149.5,154.0,120.82331085205078,"50,127,000"
05/24/2016,152.5,153.5,151.0,151.0,118.46961212158203,"24,470,000"
05/25/2016,153.5,155.0,152.5,154.5,121.21562957763672,"30,719,000"
05/26/2016,154.5,155.0,153.5,155.0,121.6078872680664,"17,196,000"
05/27/2016,156.0,156.5,154.5,156.5,122.78471374511719,"22,992,000"
05/30/2016,157.0,158.0,155.0,157.0,123.17700958251953,"36,339,000"
05/31/2016,156.5,157.5,155.0,156.5,122.78471374511719,"69,656,000"
06/01/2016,156.0,159.0,156.0,159.0,124.74610900878906,"26,926,000"
06/02/2016,159.0,160.0,158.0,159.0,124.74610900878906,"21,977,000"
06/03/2016,159.0,160.5,159.0,160.5,125.92298889160156,"31,853,000"
06/06/2016,161.0,162.0,160.0,161.0,126.31524658203125,"28,757,000"
06/07/2016,161.5,163.5,161.0,162.0,127.0998306274414,"47,046,000"
